glass,spot,PDGFRA-PDGFRB-FAP-SMA+PanEpiMask-,PDGFRA-PDGFRB-FAP+SMA-PanEpiMask-,PDGFRA-PDGFRB-FAP+SMA+PanEpiMask-,PDGFRA-PDGFRB+FAP-SMA-PanEpiMask-,PDGFRA-PDGFRB+FAP-SMA+PanEpiMask-,PDGFRA-PDGFRB+FAP+SMA-PanEpiMask-,PDGFRA-PDGFRB+FAP+SMA+PanEpiMask-,PDGFRA+PDGFRB-FAP-SMA-PanEpiMask-,PDGFRA+PDGFRB-FAP-SMA+PanEpiMask-,PDGFRA+PDGFRB-FAP+SMA-PanEpiMask-,PDGFRA+PDGFRB-FAP+SMA+PanEpiMask-,PDGFRA+PDGFRB+FAP-SMA-PanEpiMask-,PDGFRA+PDGFRB+FAP-SMA+PanEpiMask-,PDGFRA+PDGFRB+FAP+SMA-PanEpiMask-,PDGFRA+PDGFRB+FAP+SMA+PanEpiMask-
BOMI2_01_ostmanpanel_011118KV_resscan2,35,0.2930790960451977,0.0007062146892655367,0.002824858757062147,0.020480225988700564,0.1115819209039548,0.0,0.002824858757062147,0.062146892655367235,0.067090395480226,0.0007062146892655367,0.0007062146892655367,0.1228813559322034,0.2803672316384181,0.013418079096045197,0.0211864406779661
BOMI2_01_ostmanpanel_011118KV_resscan2,36,0.008306065945129625,0.0,0.0,0.005285678328718852,0.004530581424616159,0.0005033979360684622,0.0,0.11678832116788321,0.007802668009061163,0.0002516989680342311,0.0,0.61213189025925,0.15907374779763403,0.0810470677070224,0.004278882456581928
BOMI2_01_ostmanpanel_011118KV_resscan2,37,0.007806955287437899,0.0,0.0002365744026496333,0.018452803406671398,0.021055121835817366,0.0004731488052992666,0.0007097232079489,0.10101726993139343,0.023894014667612963,0.005441211260941566,0.0011828720132481666,0.4480719186184055,0.24461793233972084,0.08209131771942275,0.044949136503430326
BOMI2_01_ostmanpanel_011118KV_resscan2,38,0.21500295333727112,0.20082693443591257,0.08033077377436504,0.0490253987005316,0.11901949202598937,0.02244536326048435,0.14648552864737152,0.020968694624926166,0.006792675723567632,0.0062020082693443595,0.005316007088009451,0.021854695806261076,0.026580035440047254,0.014471352628470172,0.06467808623744832
BOMI2_01_ostmanpanel_011118KV_resscan2,39,0.2378535170413343,0.0,0.0007251631617113851,0.09934735315445975,0.16098622189992748,0.002175489485134155,0.013778100072516316,0.005076142131979695,0.007251631617113851,0.0,0.0,0.15228426395939088,0.29804205946337925,0.0029006526468455403,0.019579405366207395
BOMI2_01_ostmanpanel_011118KV_resscan2,40,0.1464035646085296,0.13112667091024824,0.19859961807765755,0.015913430935709738,0.01718650541056652,0.019096117122851686,0.33991088478676,0.06365372374283895,0.0038192234245703373,0.032463399108847865,0.0076384468491406746,0.002546148949713558,0.0006365372374283895,0.004455760661998727,0.016549968173138127
BOMI2_01_ostmanpanel_011118KV_resscan2,41,0.14370664023785926,0.12190287413280476,0.06342913776015857,0.10901883052527254,0.11793855302279485,0.17641228939544104,0.13181367690782952,0.01684836471754212,0.0019821605550049554,0.0009910802775024777,0.0,0.044598612487611496,0.03468780971258672,0.023785926660059464,0.01288404360753221
BOMI2_01_ostmanpanel_011118KV_resscan2,42,0.4176225234619395,0.049009384775808136,0.14963503649635038,0.0370177267987487,0.032846715328467155,0.040145985401459854,0.13086548488008343,0.014077163712200209,0.007820646506777894,0.0010427528675703858,0.004171011470281543,0.03388946819603754,0.01251303441084463,0.029718456725755994,0.03962460896767466
BOMI2_01_ostmanpanel_011118KV_resscan2,43,0.14520958083832336,0.0029940119760479044,0.0074850299401197605,0.05089820359281437,0.040419161676646706,0.0029940119760479044,0.005988023952095809,0.2679640718562874,0.05239520958083832,0.0029940119760479044,0.0074850299401197605,0.25748502994011974,0.08682634730538923,0.04640718562874251,0.02245508982035928
BOMI2_01_ostmanpanel_011118KV_resscan2,44,0.008100810081008101,0.0,0.0,0.009450945094509451,0.011701170117011701,0.0,0.0067506750675067504,0.20567056705670567,0.010351035103510351,0.0018001800180018,0.0,0.4522952295229523,0.1854185418541854,0.025652565256525654,0.08280828082808281
BOMI2_01_ostmanpanel_011118KV_resscan2,46,0.008165487207403375,0.0,0.0,0.005171475231355471,0.013609145345672292,0.0,0.0,0.12574850299401197,0.011431682090364725,0.0,0.0,0.5419161676646707,0.23843222645617856,0.0457267283614589,0.00979858464888405
BOMI2_01_ostmanpanel_011118KV_resscan2,47,0.06880931837791199,0.0056082830025884385,0.012942191544434857,0.004961173425366695,0.02351164797238999,0.003882657463330457,0.035806729939603106,0.06341673856773081,0.035159620362381364,0.0056082830025884385,0.012295081967213115,0.17946505608283003,0.08326143226919758,0.14775668679896461,0.3175150992234685
BOMI2_01_ostmanpanel_011118KV_resscan2,48,0.11147154231790032,0.39132999115305217,0.06015924506045414,0.07991742848717193,0.07814803892657034,0.06192863462105574,0.12651135358301385,0.013860218224712475,0.001474491300501327,0.007962253022707167,0.0020642878207018578,0.011206133883810086,0.009141846063108227,0.018873488646416987,0.025951046888823357
BOMI2_01_ostmanpanel_011118KV_resscan2,49,0.06768388106416276,0.0,0.002347417840375587,0.20735524256651017,0.25,0.0019561815336463224,0.010954616588419406,0.011737089201877934,0.000782472613458529,0.0,0.0003912363067292645,0.19209702660406885,0.21009389671361503,0.005477308294209703,0.03912363067292645
BOMI2_01_ostmanpanel_011118KV_resscan2,50,0.10500544069640914,0.10228509249183895,0.235038084874864,0.010337323177366704,0.012513601741022852,0.013601741022850925,0.3520130576713819,0.09793253536452666,0.001088139281828074,0.012513601741022852,0.008161044613710556,0.011425462459194777,0.001088139281828074,0.00544069640914037,0.031556039173014146
BOMI2_01_ostmanpanel_011118KV_resscan2,51,0.005906674542232723,0.0017720023626698169,0.0,0.01004134672179563,0.004134672179562906,0.0005906674542232723,0.0,0.5339633786178382,0.014766686355581808,0.0035440047253396337,0.0,0.2551683402244536,0.025398700531600708,0.14176018901358536,0.0029533372711163615
